City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,waitangi,-43.9535,-176.5597,12.68,84,21,3.58,NZ,1728961725
36,kone,-21.0595,164.8658,28.17,44,33,3.82,NC,1728961726
37,betio village,1.358,172.9211,32.02,78,47,8.31,KI,1728961727
38,port saint john's,-31.6229,29.5448,14.97,60,73,6.15,ZA,1728961728
39,margaret river,-33.95,115.0667,16.04,54,82,4.02,AU,1728961729
40,colonia,50.9333,6.95,8.86,93,75,1.54,DE,1728961733
41,remire-montjoly,4.9167,-52.2667,23.02,100,38,0.0,GF,1728961734
42,ilulissat,69.2167,-51.1,-6.35,94,100,3.08,GL,1728961735
43,bilibino,68.0546,166.4372,-0.75,98,100,4.37,RU,1728961736
44,avarua,-21.2078,-159.775,24.03,57,40,3.6,CK,1728961737
45,brookings,44.3114,-96.7984,4.0,67,0,3.09,US,1728961571
46,nagqu,31.5,92.0,4.36,40,98,2.53,CN,1728961740
47,lucapa,-8.4192,20.7447,17.54,93,100,0.64,AO,1728961455
48,tiksi,71.6872,128.8694,-13.39,92,75,5.86,RU,1728961636
49,saldanha,-33.0117,17.9442,12.05,68,0,6.51,ZA,1728961744
50,preobrazheniye,42.9019,133.9064,19.71,75,72,2.77,RU,1728961745
51,puerto natales,-51.7236,-72.4875,6.16,86,100,1.47,CL,1728961747
